"OTU","Winter Biocrust","Summer Biocrust","Winter Biocrust-removal","Summer Biocrust-removal"
"OTU1",1,0,0,0
"OTU2",1,0,0,0
"OTU3",1,0,0,0
"OTU4",1,0,0,0
"OTU5",0,0,1,0
"OTU6",1,1,1,1
"OTU7",0,0,1,0
"OTU8",0,0,1,0
"OTU9",1,1,1,1
"OTU10",1,1,1,1
"OTU11",1,1,1,1
"OTU12",0,0,1,0
"OTU13",1,0,0,0
"OTU14",1,0,0,0
"OTU15",1,0,0,0
"OTU16",1,1,0,0
"OTU17",1,1,0,0
"OTU18",1,0,0,0
"OTU19",1,1,0,0
"OTU20",1,1,1,1
"OTU21",1,0,0,0
"OTU22",1,1,0,0
"OTU23",1,1,0,0
"OTU24",0,1,1,1
"OTU25",1,1,1,1
"OTU26",1,1,1,1
"OTU27",0,0,1,1
"OTU28",0,1,0,0
"OTU29",0,1,0,0
"OTU30",1,1,0,0
"OTU31",1,1,0,0
"OTU32",1,1,0,0
"OTU33",1,1,0,0
"OTU34",0,1,0,0
"OTU35",0,0,1,1
"OTU36",0,1,0,0
"OTU37",0,1,0,0
"OTU38",1,1,0,0
"OTU39",1,1,1,1
"OTU40",1,1,1,1
"OTU41",1,1,1,1
"OTU42",1,1,1,1
"OTU43",1,1,1,1
"OTU44",1,1,1,1
"OTU45",1,1,1,1
"OTU46",1,1,1,1
"OTU47",1,1,1,1
