"OTU","Taxa"
"OTU1","Unclassified"
"OTU2","Unclassified"
"OTU3","Nitrososphaera cluster"
"OTU4","Nitrososphaera cluster"
"OTU5","Unclassified"
"OTU6","Nitrososphaera cluster"
"OTU7","Unclassified"
"OTU8","Nitrososphaera cluster"
"OTU9","Nitrososphaera cluster"
"OTU10","Nitrososphaera cluster"
"OTU11","Nitrososphaera cluster"
"OTU12","Unclassified"
"OTU13","Unclassified"
"OTU14","Unclassified"
"OTU15","Unclassified"
"OTU16","Unclassified"
"OTU17","Unclassified"
"OTU18","Unclassified"
"OTU19","Unclassified"
"OTU20","Nitrososphaera cluster"
"OTU21","Unclassified"
"OTU22","Unclassified"
"OTU23","Unclassified"
"OTU24","Nitrososphaera cluster"
"OTU25","Nitrososphaera cluster"
"OTU26","Nitrososphaera cluster"
"OTU27","Unclassified"
"OTU28","Unclassified"
"OTU29","Unclassified"
"OTU30","Unclassified"
"OTU31","N'sister cluster"
"OTU32","Unclassified"
"OTU33","Unclassified"
"OTU34","Nitrososphaera cluster"
"OTU35","Unclassified"
"OTU36","Unclassified"
"OTU37","Unclassified"
"OTU38","N'sister cluster"
"OTU39","Nitrososphaera cluster"
"OTU40","Nitrososphaera cluster"
"OTU41","Nitrososphaera cluster"
"OTU42","Nitrososphaera cluster"
"OTU43","Nitrososphaera cluster"
"OTU44","Nitrososphaera cluster"
"OTU45","Nitrososphaera cluster"
"OTU46","Nitrososphaera cluster"
"OTU47","Nitrososphaera cluster"
