"","Winter Biocrust","Summer Biocrust","Winter Biocrust−removal","Summer Biocrust−removal"
"top1","OTU17(Unclassified)","OTU23(Unclassified)","OTU47(Nitrososphaera)","OTU47(Nitrososphaera)"
"top2","OTU47(Nitrososphaera)","OTU47(Nitrososphaera)","OTU27(Unclassified)","OTU27(Unclassified)"
"top3","OTU23(Unclassified)","OTU32(Unclassified)","OTU41(Nitrososphaera)","OTU41(Nitrososphaera)"
"top4","OTU38(N'sister)","OTU17(Unclassified)","OTU42(Nitrososphaera)","OTU42(Nitrososphaera)"
"top5","OTU18(Unclassified)","OTU41(Nitrososphaera)","OTU26(Nitrososphaera)","OTU26(Nitrososphaera)"
"top6","OTU15(Unclassified)","OTU30(Unclassified)","OTU39(Nitrososphaera)","OTU39(Nitrososphaera)"
"top7","OTU32(Unclassified)","OTU38(N'sister)","OTU9(Nitrososphaera)","OTU9(Nitrososphaera)"
"top8","OTU16(Unclassified)","OTU42(Nitrososphaera)","OTU10(Nitrososphaera)","OTU10(Nitrososphaera)"
"top9","OTU13(Unclassified)","OTU26(Nitrososphaera)","OTU8(Nitrososphaera)","OTU44(Nitrososphaera)"
"top10","OTU41(Nitrososphaera)","OTU37(Unclassified)","OTU44(Nitrososphaera)","OTU46(Nitrososphaera)"
